종가,저가,고가,시가,MA5,WMA,PER,foreign_보유수량,MA20
44100,44050,44400,44050,44790.0,45224.545454545456,7.35,3367614485,46040.0
43850,43500,44200,43500,44480.0,44908.181818181816,7.31,3368039417,45860.0
44800,43700,44900,43700,44430.0,44799.09090909091,7.47,3366536592,45775.0
46100,44900,46200,45150,44620.0,44944.545454545456,7.69,3365907848,45772.5
46200,45700,46200,46150,45010.0,45119.09090909091,7.7,3369768421,45775.0
46150,45550,46400,45900,45420.0,45295.454545454544,7.7,3370529731,45737.5
46300,46000,46550,46100,45910.0,45512.72727272727,7.72,3371138294,45707.5
46550,46300,46950,46800,46260.0,45759.09090909091,7.76,3372090402,45710.0
46800,46400,46800,46750,46400.0,46023.63636363636,7.8,3372883955,45737.5
47650,46700,47950,46950,46690.0,46412.72727272727,7.95,3374259458,45792.5
48450,47000,48450,47100,47150.0,46885.454545454544,8.08,3379251638,45937.5
47450,47300,48300,48200,47380.0,47097.27272727273,7.91,3382068334,46022.5
47650,47200,47800,47550,47600.0,47280.0,7.95,3380222198,46115.0
46600,46400,47450,47300,47560.0,47220.0,7.77,3380977045,46110.0
46100,45800,46400,46200,47250.0,47060.0,7.69,3380694635,46075.0
44900,44400,45200,44500,46540.0,46683.63636363636,7.49,3380025689,45975.0
45500,45000,45550,45450,46150.0,46439.09090909091,7.59,3372661736,45980.0
45050,45050,45900,45550,45630.0,46127.27272727273,7.51,3374818127,45980.0
44550,44500,45100,44900,45220.0,45751.81818181818,7.43,3373897729,45950.0
44050,44000,44750,44550,44810.0,45326.36363636364,7.35,3370397660,45940.0
45850,44900,45850,45000,45000.0,45293.63636363636,7.65,3362098970,46027.5
45150,44900,45800,45550,44930.0,45180.90909090909,7.53,3364607625,46092.5
45500,44700,45900,44950,45020.0,45173.63636363636,7.59,3365281152,46127.5
46150,45700,46200,46000,45340.0,45323.63636363636,7.7,3366052283,46130.0
47250,46400,47600,46850,45980.0,45681.81818181818,7.88,3368181328,46182.5
47400,46550,47550,46550,46290.0,46046.36363636364,7.9,3372906662,46245.0
47500,46450,47500,46950,46760.0,46383.63636363636,7.92,3373181559,46305.0
46450,46300,47250,47250,46950.0,46493.63636363636,7.75,3376771718,46300.0
46350,45800,46800,46450,46990.0,46560.0,7.73,3374874038,46277.5
45700,45700,46700,46450,46680.0,46475.454545454544,7.62,3375339099,46180.0
44700,44700,45600,45150,46140.0,46179.09090909091,7.45,3375226579,45992.5
44700,44550,45500,44800,45580.0,45903.63636363636,7.45,3370670893,45855.0
44950,44200,45200,44200,45280.0,45681.81818181818,7.5,3368411424,45720.0
45300,44500,45500,45250,45070.0,45533.63636363636,7.55,3367857918,45655.0
43100,43100,44650,44000,44550.0,45000.90909090909,7.19,3368375388,45505.0
44000,43200,44650,43200,44410.0,44707.27272727273,7.34,3362264356,45460.0
43800,43350,44050,44050,44230.0,44439.09090909091,7.3,3363815972,45375.0
