종가,WMA,MA5,PER,foreign_보유수량,RSI,MOM,MA20
45500,45173.63636,45020,7.59,3365281152,47.94524587,-2150,46127.5
46150,45323.63636,45340,7.7,3366052283,51.7423177,-450,46130
47250,45681.81818,45980,7.88,3368181328,57.40487169,1150,46182.5
47400,46046.36364,46290,7.9,3372906662,58.12642626,2500,46245
47500,46383.63636,46760,7.92,3373181559,58.62957073,2000,46305
46450,46493.63636,46950,7.75,3376771718,51.61640062,1400,46300
46350,46560,46990,7.73,3374874038,50.99081751,1800,46277.5
45700,46475.45455,46680,7.62,3375339099,47.00312152,1650,46180
44700,46179.09091,46140,7.45,3375226579,41.61155091,-1150,45992.5
44700,45903.63636,45580,7.45,3370670893,41.61155091,-450,45855
44950,45681.81818,45280,7.5,3368411424,43.49093729,-550,45720
45300,45533.63636,45070,7.55,3367857918,46.10634554,-850,45655
43100,45000.90909,44550,7.19,3368375388,35.10723955,-4150,45505
44000,44707.27273,44410,7.34,3362264356,41.27881457,-3400,45460
43800,44439.09091,44230,7.3,3363815972,40.36021672,-3700,45375
43600,44201.81818,43960,7.27,3365513941,39.41560977,-2850,45302.5
44150,44116.36364,43730,7.36,3366147302,43.34270018,-2200,45282.5
44050,44052.72727,43920,7.35,3367157272,42.79948648,-1650,45282.5
43900,43991.81818,43900,7.32,3368716870,41.95017985,-800,45185
43550,43881.81818,43850,7.26,3367438183,39.95772635,-1150,45105
43050,43701.81818,43740,7.18,3367058905,37.23681998,-1900,44982.5
42550,43465.45455,43420,7.1,3365744444,34.69271079,-2750,44802.5
41000,42997.27273,42810,6.84,3362373111,28.24928297,-2100,44490
41000,42567.27273,42230,6.84,3355759560,28.24928297,-3000,44170
41400,42264.54545,41800,6.9,3353945023,32.02768737,-2400,43865
42350,42178.18182,41660,7.06,3352268962,40.09605886,-1250,43660
42400,42123.63636,41630,7.07,3350942487,40.49639812,-1750,43462.5
42150,42055.45455,41860,7.03,3351505930,39.0897347,-1900,43285
44150,42385.45455,42490,7.36,3353388681,53.11925869,250,43257.5
43800,42647.27273,42970,7.3,3356730418,50.90935781,250,43212.5
43750,42895.45455,43250,7.3,3358510653,50.58558956,700,43152.5
44000,43176.36364,43570,7.34,3358855574,52.22173423,1450,43087.5
44050,43440,43950,7.35,3359363071,52.56005366,3050,43135
44300,43693.63636,43980,7.39,3360650150,54.30243927,3300,43150
45200,44050.90909,44260,7.54,3361543160,59.99837297,3800,43220
44500,44211.81818,44410,7.42,3363406667,54.32653132,2150,43265
44100,44260.90909,44430,7.35,3360471009,51.3398697,1700,43262.5
44250,44306.36364,44470,7.38,3359528649,52.39675189,2100,43272.5
44000,44268.18182,44410,7.34,3358895161,50.43075766,-150,43277.5
43650,44169.09091,44100,7.28,3358376548,47.73060962,-150,43282.5
42800,43918.18182,43760,7.14,3357253845,41.86777636,-950,43270
42100,43557.27273,43360,7.02,3354488490,37.75488266,-1900,43247.5
42450,43294.54545,43000,7.08,3351410310,40.88198518,-1600,43320
42400,43051.81818,42680,7.07,3350290936,40.56843165,-1900,43390
42600,42880,42470,7.1,3349789638,42.4691814,-2600,43450
43050,42837.27273,42520,7.18,3347322003,46.60689238,-1450,43485
43150,42839.09091,42730,7.2,3347829134,47.51034521,-950,43522.5
43150,42858.18182,42870,7.2,3347252137,47.51034521,-1100,43572.5
41850,42660.90909,42760,6.98,3347117037,37.85343311,-2150,43457.5
43250,42757.27273,42890,7.21,3345263055,49.70872177,-400,43430
42150,42660.90909,42710,7.03,3348680965,42.80013164,-650,43350
41450,42449.09091,42370,6.91,3345682457,39.07809804,-650,43222.5
40500,42076.36364,41840,6.75,3340561657,34.67136832,-1950,43045
40950,41820.90909,41660,6.83,3334358815,38.22497624,-1450,42877.5
40200,41455.45455,41050,6.7,3333777084,34.8248957,-2400,42627.5
40250,41142.72727,40670,6.71,3328687262,35.23846902,-2800,42415
40450,40917.27273,40470,6.75,3328592186,36.96160905,-2700,42232.5
40000,40659.09091,40370,6.67,3326558207,34.72295326,-3150,42020
38950,40267.27273,39970,6.49,3327187106,30.13637387,-2900,41767.5
39150,39964.54545,39760,6.53,3325484406,31.97942729,-4100,41542.5
38900,39690.90909,39490,6.49,3325426333,30.88270461,-3250,41347.5
39100,39512.72727,39220,6.52,3322571116,32.86624813,-2350,41197.5
38650,39295.45455,38950,6.44,3320817503,30.72938793,-1850,41007.5
38650,39111.81818,38890,6.44,3321207683,30.72938793,-2300,40820
38800,38997.27273,38820,6.47,3316542392,32.4277965,-1400,40630
38350,38826.36364,38710,6.39,3317382272,30.04762,-1900,40395
38250,38671.81818,38540,6.38,3313841197,29.52892562,-2200,40150
38700,38639.09091,38550,6.45,3315501801,34.96916477,-1300,39927.5
38750,38639.09091,38570,6.46,3318291327,35.56438169,-200,39772.5
37600,38433.63636,38330,6.27,3319573281,28.99170565,-1550,39490
37450,38229.09091,38150,6.24,3321405841,28.25812411,-1450,39255
38750,38287.27273,38250,6.46,3322734902,41.96405314,-350,39120
38100,38233.63636,38130,6.35,3324331866,38.04984979,-550,39000
39600,38462.72727,38300,6.6,3323035975,49.70795211,950,38932.5
39800,38710.90909,38740,6.64,3325913645,51.03116194,1000,38912.5
40500,39068.18182,39350,6.75,3329580929,55.4492757,2150,38925
40050,39304.54545,39610,6.68,3332302667,52.18941755,1800,38905
41100,39699.09091,40210,6.85,3333854037,58.34329951,2400,38960
41450,40113.63636,40580,6.91,3335885695,60.18304035,2700,39085
