³¯Â¥,BPS,PER,PBR,EPS,DIV,DPS
2021-04-02,65812,242.58,11.3,3067,0.0,0
2021-04-05,65812,244.54,11.4,3067,0.0,0
2021-04-06,65812,245.84,11.46,3067,0.0,0
2021-04-07,65812,249.43,11.62,3067,0.0,0
2021-04-08,65812,248.78,11.59,3067,0.0,0
2021-04-09,65812,251.06,11.7,3067,0.0,0
2021-04-12,65812,254.97,11.88,3067,0.0,0
2021-04-13,65812,255.62,11.91,3067,0.0,0
2021-04-14,65812,257.58,12.0,3067,0.0,0
2021-04-15,65812,262.8,12.25,3067,0.0,0
2021-04-16,65812,270.95,12.63,3067,0.0,0
2021-04-19,65812,270.62,12.61,3067,0.0,0
2021-04-20,65812,272.91,12.72,3067,0.0,0
2021-04-21,65812,271.6,12.66,3067,0.0,0
2021-04-22,65812,262.47,12.23,3067,0.0,0
2021-04-23,65812,264.75,12.34,3067,0.0,0
2021-04-26,65812,267.04,12.44,3067,0.0,0
2021-04-27,65812,263.12,12.26,3067,0.0,0
2021-04-28,65812,257.91,12.02,3067,0.0,0
2021-04-29,65812,260.84,12.16,3067,0.0,0
2021-04-30,65812,262.15,12.22,3067,0.0,0
2021-05-03,69505,212.25,11.12,3642,0.0,0
2021-05-04,69505,209.77,10.99,3642,0.0,0
2021-05-06,69505,214.99,11.27,3642,0.0,0
2021-05-07,69505,220.76,11.57,3642,0.0,0
2021-05-10,69505,224.05,11.74,3642,0.0,0
2021-05-11,69505,224.33,11.75,3642,0.0,0
2021-05-12,69505,235.04,12.32,3642,0.0,0
2021-05-13,69505,237.78,12.46,3642,0.0,0
2021-05-14,69505,260.3,13.64,3642,0.0,0
2021-05-17,69505,239.98,12.57,3642,0.0,0
2021-05-18,69505,245.47,12.86,3642,0.0,0
2021-05-20,69505,244.65,12.82,3642,0.0,0
2021-05-21,69505,236.41,12.39,3642,0.0,0
2021-05-24,69505,235.58,12.34,3642,0.0,0
2021-05-25,69505,233.39,12.23,3642,0.0,0
2021-05-26,69505,229.27,12.01,3642,0.0,0
2021-05-27,69505,224.33,11.75,3642,0.0,0
2021-05-28,69505,227.07,11.9,3642,0.0,0
2021-05-31,69505,232.02,12.16,3642,0.0,0
2021-06-01,69505,228.45,11.97,3642,0.0,0
2021-06-02,69505,224.6,11.77,3642,0.0,0
2021-06-03,69505,226.25,11.86,3642,0.0,0
2021-06-04,69505,230.64,12.09,3642,0.0,0
2021-06-07,69505,231.19,12.11,3642,0.0,0
2021-06-08,69505,234.76,12.3,3642,0.0,0
2021-06-09,69505,229.0,12.0,3642,0.0,0
2021-06-10,69505,234.76,12.3,3642,0.0,0
2021-06-11,69505,232.02,12.16,3642,0.0,0
2021-06-14,69505,234.21,12.27,3642,0.0,0
2021-06-15,69505,231.19,12.11,3642,0.0,0
2021-06-16,69505,228.72,11.98,3642,0.0,0
2021-06-17,69505,228.72,11.98,3642,0.0,0
2021-06-18,69505,229.54,12.03,3642,0.0,0
2021-06-21,69505,234.49,12.29,3642,0.0,0
2021-06-22,69505,232.29,12.17,3642,0.0,0
2021-06-23,69505,235.31,12.33,3642,0.0,0
2021-06-24,69505,234.76,12.3,3642,0.0,0
2021-06-25,69505,233.11,12.21,3642,0.0,0
2021-06-28,69505,231.47,12.13,3642,0.0,0
2021-06-29,69505,232.29,12.17,3642,0.0,0
2021-06-30,69505,230.92,12.1,3642,0.0,0
2021-07-01,69505,234.76,12.3,3642,0.0,0
2021-07-02,69505,234.76,12.3,3642,0.0,0
2021-07-05,69505,238.06,12.47,3642,0.0,0
2021-07-06,69505,233.39,12.23,3642,0.0,0
2021-07-07,69505,232.02,12.16,3642,0.0,0
2021-07-08,69505,236.96,12.42,3642,0.0,0
2021-07-09,69505,235.31,12.33,3642,0.0,0
2021-07-12,69505,238.88,12.52,3642,0.0,0
2021-07-13,69505,237.51,12.45,3642,0.0,0
2021-07-14,69505,237.23,12.43,3642,0.0,0
