data,algorithm,rmse,r2
WMA MA5 PER foreign_보유수량 RSI 종가,gru,940.7064275973732,0.9814726341751882
WMA MA5 PER MOM MA20 종가,gru,951.1461264175014,0.9810591292286232
WMA MA5 PER foreign_보유수량 MA20 종가,lstmgru,965.960673541852,0.9804645083678029
MA5 foreign_보유수량 RSI MOM MA20 종가,gru,975.5193720232922,0.9800759671047622
WMA MA5 RSI MOM MA20 종가,gru,977.0952657398816,0.9800115429219491
WMA MA5 foreign_보유수량 RSI MOM 종가,gru,978.4917597701185,0.9799543658798383
MA5 PER RSI MOM MA20 종가,gru,979.0841351368302,0.9799300874244583
WMA PER foreign_보유수량 MOM MA20 종가,gru,989.4704336984997,0.9795020184872043
WMA PER foreign_보유수량 RSI MOM MA20 종가,lstm,993.9123630469533,0.9793175663709175
WMA PER RSI MOM MA20 종가,gru,1001.5203399028117,0.9789997240508209
WMA MA5 PER foreign_보유수량 MOM 종가,gru,1013.0089734897127,0.9785151642038058
WMA foreign_보유수량 RSI MOM MA20 종가,gru,1018.5467395231152,0.9782796219675891
WMA MA5 PER foreign_보유수량 MOM 종가,lstmgru,1020.7078965681758,0.9781873513900063
PER foreign_보유수량 RSI MOM MA20 종가,lstmgru,1021.9380827718819,0.9781347412558095
PER foreign_보유수량 RSI MOM MA20 종가,gru,1026.3958898883325,0.9779435678421549
WMA MA5 foreign_보유수량 RSI MOM 종가,lstm,1028.07777366398,0.9778712239261799
WMA MA5 PER foreign_보유수량 RSI MOM 종가,gru,1029.0051771074632,0.9778312822797655
WMA PER foreign_보유수량 RSI MA20 종가,gru,1029.6007252803417,0.9778056140709259
MA5 PER foreign_보유수량 MOM MA20 종가,lstm,1032.581337533128,0.9776769261035418
WMA PER foreign_보유수량 RSI MOM 종가,gru,1033.2733650033294,0.9776469945980704
WMA PER foreign_보유수량 RSI MA20 종가,lstm,1041.46090077408,0.9772913459648744
WMA MA5 foreign_보유수량 RSI MOM 종가,lstmgru,1043.4145463114753,0.9772060690778462
WMA MA5 PER foreign_보유수량 RSI MOM 종가,lstm,1046.4171623765105,0.9770746929152909
WMA MA5 PER foreign_보유수량 MOM MA20 종가,lstm,1047.8428405134343,0.9770121817576012
WMA MA5 PER RSI MOM MA20 종가,lstm,1050.771195598201,0.9768835163606788
WMA PER foreign_보유수량 MOM MA20 종가,lstmgru,1054.32379384273,0.9767269410621936
MA5 PER RSI MOM MA20 종가,lstm,1056.7349632746875,0.9766203714208354
WMA MA5 PER foreign_보유수량 MOM MA20 종가,gru,1060.7045944647075,0.9764443900747126
WMA MA5 RSI MOM MA20 종가,lstm,1060.9829311231663,0.9764320261234086
WMA MA5 RSI MOM MA20 종가,lstmgru,1066.4528717220967,0.9761883884027902
WMA MA5 PER foreign_보유수량 MOM 종가,lstm,1071.0064077924296,0.9759846128477154
WMA MA5 PER foreign_보유수량 RSI MA20 종가,lstmgru,1071.338939102929,0.9759696977027648
MA5 PER foreign_보유수량 RSI MOM 종가,gru,1073.8335637071232,0.9758576577603927
MA5 PER foreign_보유수량 RSI MOM 종가,lstm,1074.7088205249,0.9758182859956265
WMA MA5 PER RSI MOM 종가,lstm,1079.6877078723996,0.9755937099685896
WMA MA5 PER foreign_보유수량 RSI 종가,lstmgru,1080.6982080388307,0.9755480039722404
WMA MA5 PER MOM MA20 종가,lstm,1082.4244919571659,0.9754698234020529
WMA MA5 PER foreign_보유수량 MOM MA20 종가,lstmgru,1089.530238890777,0.9751467018253148
WMA MA5 PER RSI MOM 종가,lstmgru,1089.8021609018301,0.9751342946393163
WMA MA5 foreign_보유수량 MOM MA20 종가,lstm,1091.0262639471873,0.9750784032466306
WMA PER foreign_보유수량 RSI MOM MA20 종가,gru,1091.2099724046893,0.9750700098766446
WMA MA5 PER foreign_보유수량 RSI 종가,lstm,1091.228900395156,0.9750691450042189
WMA MA5 PER foreign_보유수량 RSI MOM MA20 종가,lstm,1092.8448877381268,0.9749952507423132
MA5 PER foreign_보유수량 RSI MOM MA20 종가,lstmgru,1094.7444781070405,0.9749082483456302
MA5 PER foreign_보유수량 RSI MOM 종가,lstmgru,1095.0311538529477,0.9748951052997591
MA5 PER foreign_보유수량 MOM MA20 종가,lstmgru,1097.2194971634756,0.9747946642790771
WMA MA5 PER foreign_보유수량 RSI MOM MA20 종가,gru,1101.5905434344056,0.9745934408390697
WMA PER foreign_보유수량 MOM MA20 종가,lstm,1106.6058786129975,0.9743615716098768
WMA MA5 PER foreign_보유수량 MA20 종가,lstm,1113.7392550200825,0.9740299666009482
WMA MA5 foreign_보유수량 RSI MA20 종가,gru,1123.6290184954162,0.9735667023005383
WMA MA5 PER RSI MOM 종가,gru,1127.0789419630137,0.9734041346752744
WMA MA5 PER RSI MA20 종가,lstm,1134.6398571563152,0.9730461054913742
MA5 PER foreign_보유수량 RSI MA20 종가,gru,1138.1191010742632,0.9728805499549277
WMA MA5 PER MOM MA20 종가,lstmgru,1156.8151936574673,0.9719822392814973
WMA MA5 PER RSI MA20 종가,lstmgru,1157.7930500595091,0.9719348524104837
MA5 PER foreign_보유수량 RSI MOM MA20 종가,gru,1162.4581331237805,0.9717082315742935
MA5 PER foreign_보유수량 MOM MA20 종가,gru,1164.2277076814864,0.9716220306214668
WMA MA5 PER foreign_보유수량 RSI MA20 종가,gru,1166.2232040984534,0.971524667079265
WMA PER RSI MOM MA20 종가,lstmgru,1171.9775714455513,0.9712429683830017
MA5 PER foreign_보유수량 RSI MA20 종가,lstmgru,1172.9623856995443,0.9711946189365004
WMA PER RSI MOM MA20 종가,lstm,1177.7219923232976,0.9709603736637461
WMA PER foreign_보유수량 RSI MOM 종가,lstmgru,1184.9449556348006,0.9706030816008341
WMA MA5 PER foreign_보유수량 RSI MA20 종가,lstm,1189.2354731337675,0.9703898120510774
MA5 PER foreign_보유수량 RSI MA20 종가,lstm,1194.6729914748855,0.9701184208491265
MA5 foreign_보유수량 RSI MOM MA20 종가,lstm,1198.5472518278623,0.9699242978806336
WMA MA5 PER foreign_보유수량 RSI MOM MA20 종가,lstmgru,1203.3145644495296,0.9696845652759167
WMA MA5 PER RSI MA20 종가,gru,1220.9929445791454,0.9687872694889429
WMA MA5 foreign_보유수량 MOM MA20 종가,gru,1222.9193013908655,0.9686887033387004
WMA MA5 foreign_보유수량 RSI MA20 종가,lstm,1230.3756306181401,0.9683057196381271
WMA MA5 PER RSI MOM MA20 종가,gru,1231.1227254427338,0.968267217864889
WMA PER foreign_보유수량 RSI MA20 종가,lstmgru,1239.3054977089566,0.9678439861943032
WMA MA5 foreign_보유수량 MOM MA20 종가,lstmgru,1244.3295257996183,0.9675827428177302
WMA MA5 PER foreign_보유수량 RSI MOM 종가,lstmgru,1257.742446529686,0.9668801097097007
WMA MA5 foreign_보유수량 RSI MOM MA20 종가,gru,1258.9439185467377,0.9668168032232789
WMA MA5 foreign_보유수량 RSI MA20 종가,lstmgru,1264.5765921896398,0.9665192073656474
MA5 PER RSI MOM MA20 종가,lstmgru,1264.9852439463405,0.9664975650301849
WMA MA5 PER foreign_보유수량 MA20 종가,gru,1265.2585082738303,0.9664830889574451
MA5 foreign_보유수량 RSI MOM MA20 종가,lstmgru,1267.7990659081008,0.9663483542242993
WMA MA5 foreign_보유수량 RSI MOM MA20 종가,lstmgru,1315.6706525256557,0.9637590287088036
WMA MA5 foreign_보유수량 RSI MOM MA20 종가,lstm,1326.2305767397652,0.9631749345915722
PER foreign_보유수량 RSI MOM MA20 종가,lstm,1326.8053672996389,0.963143007584042
WMA MA5 PER RSI MOM MA20 종가,lstmgru,1350.516896007355,0.9618138831021724
WMA PER foreign_보유수량 RSI MOM 종가,lstm,1390.0151270803574,0.959547580062697
MA5 PER foreign_보유수량 RSI MOM MA20 종가,lstm,1390.7801702660888,0.9595030390152958
WMA foreign_보유수량 RSI MOM MA20 종가,lstmgru,1479.0593957833596,0.9541988183022567
WMA PER foreign_보유수량 RSI MOM MA20 종가,lstmgru,1840.6129997739442,0.9290699242094004
WMA foreign_보유수량 RSI MOM MA20 종가,lstm,1960.140695740343,0.9195585399306353
