³¯Â¥,BPS,PER,PBR,EPS,DIV,DPS
2018-10-08,60099,0.0,8.47,0,0.0,0
2018-10-10,60099,0.0,8.12,0,0.0,0
2018-10-11,60099,0.0,7.77,0,0.0,0
2018-10-12,60099,0.0,7.9,0,0.0,0
2018-10-15,60099,0.0,7.74,0,0.0,0
2018-10-16,60099,0.0,7.78,0,0.0,0
2018-10-17,60099,0.0,7.49,0,0.0,0
2018-10-18,60099,0.0,7.39,0,0.0,0
2018-10-19,60099,0.0,7.54,0,0.0,0
2018-10-22,60099,0.0,7.44,0,0.0,0
2018-10-23,60099,0.0,6.95,0,0.0,0
2018-10-24,60099,0.0,6.7,0,0.0,0
2018-10-25,60099,0.0,6.51,0,0.0,0
2018-10-26,60099,0.0,6.19,0,0.0,0
2018-10-29,60099,0.0,6.03,0,0.0,0
2018-10-30,60099,0.0,6.62,0,0.0,0
2018-10-31,60099,0.0,6.45,0,0.0,0
2018-11-01,60099,0.0,6.49,0,0.0,0
2018-11-02,60099,0.0,6.68,0,0.0,0
2018-11-05,60099,0.0,6.64,0,0.0,0
2018-11-06,60099,0.0,6.67,0,0.0,0
2018-11-07,60099,0.0,6.66,0,0.0,0
2018-11-08,60099,0.0,6.4,0,0.0,0
2018-11-09,60099,0.0,6.12,0,0.0,0
2018-11-12,60099,0.0,4.75,0,0.0,0
2018-11-13,60099,0.0,5.22,0,0.0,0
2018-11-14,60099,0.0,5.57,0,0.0,0
2018-11-15,60099,0.0,5.57,0,0.0,0
2018-11-16,60099,0.0,5.57,0,0.0,0
2018-11-19,60099,0.0,5.57,0,0.0,0
2018-11-20,60099,0.0,5.57,0,0.0,0
2018-11-21,60099,0.0,5.57,0,0.0,0
2018-11-22,60099,0.0,5.57,0,0.0,0
2018-11-23,60099,0.0,5.57,0,0.0,0
2018-11-26,60099,0.0,5.57,0,0.0,0
2018-11-27,60099,0.0,5.57,0,0.0,0
2018-11-28,60099,0.0,5.57,0,0.0,0
2018-11-29,60099,0.0,5.57,0,0.0,0
2018-11-30,60099,0.0,5.57,0,0.0,0
2018-12-03,60099,0.0,5.57,0,0.0,0
2018-12-04,60099,0.0,5.57,0,0.0,0
2018-12-05,60099,0.0,5.57,0,0.0,0
2018-12-06,60099,0.0,5.57,0,0.0,0
2018-12-07,60099,0.0,5.57,0,0.0,0
2018-12-10,60099,0.0,5.57,0,0.0,0
2018-12-11,60099,0.0,6.56,0,0.0,0
2018-12-12,60099,0.0,6.56,0,0.0,0
2018-12-13,60099,0.0,6.82,0,0.0,0
2018-12-14,60099,0.0,6.51,0,0.0,0
2018-12-17,60099,0.0,6.2,0,0.0,0
2018-12-18,60099,0.0,6.1,0,0.0,0
2018-12-19,60099,0.0,6.12,0,0.0,0
2018-12-20,60099,0.0,5.72,0,0.0,0
2018-12-21,60099,0.0,5.82,0,0.0,0
2018-12-24,60099,0.0,5.8,0,0.0,0
2018-12-26,60099,0.0,5.99,0,0.0,0
2018-12-27,60099,0.0,6.17,0,0.0,0
2018-12-28,60099,0.0,6.43,0,0.0,0
2019-01-02,60099,0.0,6.22,0,0.0,0
2019-01-03,60099,0.0,6.26,0,0.0,0
2019-01-04,60099,0.0,6.34,0,0.0,0
2019-01-07,60099,0.0,6.46,0,0.0,0
2019-01-08,60099,0.0,6.42,0,0.0,0
2019-01-09,60099,0.0,6.44,0,0.0,0
2019-01-10,60099,0.0,6.46,0,0.0,0
2019-01-11,60099,0.0,6.58,0,0.0,0
2019-01-14,60099,0.0,6.71,0,0.0,0
2019-01-15,60099,0.0,6.72,0,0.0,0
2019-01-16,60099,0.0,6.64,0,0.0,0
2019-01-17,60099,0.0,6.42,0,0.0,0
2019-01-18,60099,0.0,6.66,0,0.0,0
2019-01-21,60099,0.0,6.61,0,0.0,0
2019-01-22,60099,0.0,6.72,0,0.0,0
2019-01-23,60099,0.0,6.64,0,0.0,0
2019-01-24,60099,0.0,6.68,0,0.0,0
2019-01-25,60099,0.0,6.71,0,0.0,0
2019-01-28,60099,0.0,6.69,0,0.0,0
2019-01-29,60099,0.0,6.52,0,0.0,0
2019-01-30,60099,0.0,6.46,0,0.0,0
2019-01-31,60099,0.0,6.64,0,0.0,0
2019-02-01,60099,0.0,6.46,0,0.0,0
2019-02-07,60099,0.0,6.3,0,0.0,0
2019-02-08,60099,0.0,6.3,0,0.0,0
2019-02-11,60099,0.0,6.3,0,0.0,0
2019-02-12,60099,0.0,6.27,0,0.0,0
2019-02-13,60099,0.0,6.31,0,0.0,0
2019-02-14,60099,0.0,6.36,0,0.0,0
2019-02-15,60099,0.0,6.32,0,0.0,0
2019-02-18,60099,0.0,6.31,0,0.0,0
2019-02-19,60099,0.0,6.4,0,0.0,0
2019-02-20,60099,0.0,6.46,0,0.0,0
2019-02-21,60099,0.0,6.34,0,0.0,0
2019-02-22,60099,0.0,6.26,0,0.0,0
2019-02-25,60099,0.0,6.16,0,0.0,0
2019-02-26,60099,0.0,6.14,0,0.0,0
2019-02-27,60099,0.0,6.19,0,0.0,0
2019-02-28,60099,0.0,6.26,0,0.0,0
2019-03-04,60099,0.0,6.26,0,0.0,0
