data,algorithm,rmse,r2
고가 PER foreign_보유수량 종가,gru,905.4587736595595,0.9828350391801774
고가 PER 종가,gru,905.8184835263137,0.9828213982891812
고가 foreign_보유수량 종가,gru,907.5115838556004,0.9827571198961449
고가 MA5 MA20 종가,gru,907.558274199298,0.9827553456009782
고가 WMA foreign_보유수량 종가,lstm,908.9117506925489,0.982703872017141
고가 시가 MA20 종가,gru,909.1758069279273,0.9826938208458132
고가 종가,gru,909.5444953353732,0.98267978201788
고가 foreign_보유수량 MA20 종가,lstm,909.9120894060918,0.9826657791932897
고가 foreign_보유수량 MA20 종가,gru,910.0326200051908,0.9826611865685254
고가 MA5 PER 종가,gru,910.3849823980628,0.9826477568772012
고가 MA5 WMA 종가,gru,910.456961843368,0.9826450128639868
고가 foreign_보유수량 종가,lstmgru,910.4701002664773,0.9826445119752708
고가 MA5 foreign_보유수량 종가,gru,910.5857603727998,0.9826401022421252
고가 WMA PER 종가,gru,910.5944420720883,0.9826397712153574
고가 WMA MA20 종가,gru,910.7395151895038,0.9826342392177688
고가 WMA 종가,lstm,910.9996382476049,0.9826243178740124
고가 MA5 foreign_보유수량 종가,lstmgru,911.2275914439804,0.9826156211903679
고가 PER foreign_보유수량 종가,lstm,911.9615926640762,0.982587603394197
MA5 PER foreign_보유수량 종가,gru,912.2230326363043,0.9825776184363986
고가 MA5 종가,lstm,912.3918471779319,0.9825711695233699
고가 MA5 WMA 종가,lstm,912.9374345053633,0.9825503192886262
고가 시가 종가,gru,913.3013704775435,0.9825364041350181
고가 시가 foreign_보유수량 종가,gru,913.5567942851038,0.9825266346502757
고가 foreign_보유수량 종가,lstm,913.7502936691766,0.9825192318406729
고가 WMA 종가,gru,913.8619770253514,0.9825149583970836
고가 MA20 종가,gru,913.927300695501,0.9825124586149694
고가 MA20 종가,lstm,913.9604866190268,0.9825111885998443
고가 MA5 MA20 종가,lstm,914.0893915211026,0.9825062550112841
고가 종가,lstm,914.2779828568055,0.9824990357850241
PER foreign_보유수량 종가,gru,914.3288610779725,0.9824970879251392
고가 WMA foreign_보유수량 종가,gru,915.0488743436241,0.9824695107776984
고가 PER 종가,lstm,915.9604268424712,0.9824345663694684
고가 MA5 종가,gru,916.3056082590346,0.9824213247412033
고가 종가,lstmgru,916.3509796077385,0.9824195838636102
WMA PER MA20 종가,gru,916.4707609955168,0.9824149874931795
고가 MA5 foreign_보유수량 종가,lstm,916.8730458066709,0.9823995462235986
고가 시가 PER 종가,gru,916.9001412613253,0.9823985059501475
고가 WMA PER 종가,lstm,917.0260218483982,0.9823936726244675
