n_neighbors,weights,metric,leaf_size,RMSE,R2
25,uniform,manhattan,10,1130.672473837549,0.9728566053163012
25,uniform,manhattan,50,1131.0249006838228,0.9728396816676557
25,uniform,manhattan,30,1131.0249006838228,0.9728396816676557
30,uniform,euclidean,10,1226.8445603251912,0.968042734842825
30,uniform,minkowski,10,1226.8445603251912,0.968042734842825
30,uniform,manhattan,10,1226.8854021689435,0.9680406070828829
30,uniform,euclidean,30,1227.1956432108857,0.9680244419725106
30,uniform,minkowski,50,1227.1956432108857,0.9680244419725106
30,uniform,minkowski,30,1227.1956432108857,0.9680244419725106
30,uniform,euclidean,50,1227.1956432108857,0.9680244419725106
30,uniform,manhattan,50,1227.3040371109776,0.9680187931445845
30,uniform,manhattan,30,1227.3040371109776,0.9680187931445845
30,uniform,euclidean,20,1227.3571426262033,0.9680160254274407
30,uniform,minkowski,20,1227.3571426262033,0.9680160254274407
30,uniform,manhattan,20,1227.5644659688028,0.9680052191440224
