n_estimators,max_depth,min_samples_leaf,min_samples_split,RMSE,R2
300,20,5,15,1217.6228558689088,0.9685213494786644
300,5,5,15,1218.502477709887,0.9684758521230687
500,,5,15,1219.8381521959725,0.9684067031828639
200,,5,15,1220.1273183312564,0.9683917228441224
100,5,5,15,1221.0878020410692,0.9683419392121428
100,5,5,25,1223.5409081685577,0.9682146124286896
200,15,5,15,1225.2609515364604,0.9681251823595994
500,30,1,15,1226.051439044168,0.9680840404738021
300,10,5,25,1226.1111139628083,0.9680809335427587
100,30,5,15,1226.1824326831136,0.9680772201873326
300,,5,15,1226.269983008749,0.9680726614047722
300,15,5,15,1226.970759768366,0.968036159932481
100,30,5,25,1228.6062154109839,0.9679508925669615
200,5,5,15,1228.7822340919968,0.9679417087525725
200,5,1,15,1229.0669406511238,0.9679268513385937
300,10,5,15,1229.629474021329,0.967897485411163
200,30,5,25,1230.5960036030233,0.9678469982925905
300,20,1,25,1230.832577009249,0.9678346347284892
300,30,5,15,1230.866380320089,0.9678328679394206
500,30,5,15,1231.0508901327787,0.9678232233566245
500,15,5,15,1231.2965144192297,0.9678103819926716
100,10,5,15,1231.3973219401635,0.9678051109821765
500,30,1,25,1231.7845526462474,0.9677848595010743
100,20,1,25,1232.7995993605075,0.9677317441319351
200,,1,15,1233.4182615263353,0.9676993493158139
500,5,5,15,1234.4950849341772,0.9676429251798813
500,15,5,25,1234.5410472989142,0.9676405157164845
500,20,1,25,1235.5923223918462,0.9675853807264163
500,5,1,25,1237.4860799193173,0.9674859426350738
100,,1,25,1237.8638598779853,0.9674660878110894
200,10,1,25,1238.4019044773709,0.9674377995629619
500,20,5,15,1238.9198536956678,0.9674105562373039
200,,1,25,1238.9937758819058,0.9674066671159939
200,15,1,25,1241.8314453343778,0.967257199022037
300,30,5,25,1242.748677206254,0.9672088126938941
200,20,5,15,1243.3677968871657,0.9671761323510456
200,10,5,25,1243.9660668698525,0.9671445370993987
200,,5,25,1244.8088932608807,0.9671000007846596
100,,1,15,1244.865419440215,0.96709701277021
200,15,5,25,1244.9928236785836,0.967090277593099
500,20,5,25,1245.3583443967502,0.9670709506524451
200,10,1,15,1245.4078678898868,0.9670683316569061
200,20,1,25,1245.7755453563184,0.9670488841810554
500,15,1,25,1245.8233905418585,0.9670463530950495
200,30,5,15,1245.9212696008087,0.967041174835148
500,10,1,15,1246.1112492811944,0.9670311228605893
200,5,5,25,1246.2013858538464,0.9670263531274388
300,5,5,25,1246.3434919523322,0.9670188326359278
300,,5,25,1247.233788976657,0.9669716971186975
300,15,5,25,1247.2351637736347,0.9669716243059876
500,10,5,25,1247.4012517909896,0.9669628272758191
200,30,1,25,1247.415169337381,0.96696209006484
300,30,1,15,1247.84918056513,0.9669390964077992
100,,5,25,1248.379136167694,0.9669110088282103
100,15,1,25,1248.474977480205,0.966905927977392
300,30,1,25,1248.6039878495885,0.9668990881141589
500,5,5,25,1248.8054330923808,0.9668884064902117
300,20,5,25,1248.9091385164727,0.9668829068433713
300,20,1,15,1248.9450696361384,0.9668810012582206
200,5,1,25,1249.049977916361,0.9668754371974656
300,5,1,25,1249.0744317520262,0.9668741401628251
100,15,1,15,1250.1342078706425,0.9668179051025327
300,15,1,30,1251.4347136084275,0.9667488309972465
500,5,1,15,1251.5761446792553,0.9667413148014304
500,30,5,25,1251.7191605244752,0.9667337135208289
200,15,1,30,1251.9431565732716,0.9667218064034953
500,,5,25,1252.2538646524015,0.9667052863456561
100,10,1,25,1252.5393079679839,0.966690105978663
500,10,1,25,1252.7063627337654,0.9666812201136202
100,20,5,25,1253.4128808812575,0.9666436263699687
300,10,1,15,1254.7629388750242,0.966571730999787
200,20,1,15,1254.975530503963,0.966560402689133
100,20,5,15,1256.0340520629934,0.966503968979316
100,30,1,15,1256.243406739804,0.9664928018693794
200,30,1,15,1257.0722257071227,0.9664485738759329
500,,1,25,1257.1650114264933,0.9664436207665803
100,10,1,15,1257.331660429783,0.9664347237518726
100,10,5,25,1257.5140015971688,0.9664249876167863
300,15,1,15,1258.621349671236,0.9663658302714403
300,,1,15,1259.1044489344856,0.9663400055688872
100,5,1,25,1260.2154228045047,0.9662805794072858
100,,5,30,1261.081540401793,0.9662342142875138
300,15,1,25,1261.4736756970415,0.966213211973956
500,20,1,15,1262.124352113813,0.9661783480899049
100,5,5,30,1263.3671172966867,0.9661117095448544
200,15,1,15,1263.4180148163969,0.9661089789613968
200,20,1,30,1264.0678363261557,0.9660741072438151
300,10,1,25,1264.3469243040643,0.9660591248927592
100,5,1,15,1264.3994747911636,0.9660563034415395
100,,5,15,1265.0459345610075,0.9660215852306416
200,20,5,25,1265.629122386508,0.9659902498224385
500,,1,15,1267.6206137612755,0.9658831356445902
200,10,1,30,1267.9953356892022,0.96586296205852
500,15,1,15,1268.172060877686,0.9658534457855391
200,30,1,30,1268.2065103625007,0.9658515906000883
300,,5,30,1268.5321943562365,0.9658340492638596
500,,1,30,1268.7939078281233,0.9658199501152273
500,,5,30,1269.0788967747144,0.9658045937514764
500,15,5,30,1269.4543772022373,0.9657843560732324
500,20,1,30,1273.4696685694898,0.9655675652091353
300,,1,25,1274.2802378522629,0.9655237184540174
200,,1,30,1275.0668988548848,0.9654811383105727
200,10,5,30,1277.0294980924568,0.9653747927847334
100,,1,30,1277.1231961564602,0.9653697115647499
500,5,1,30,1277.242298865392,0.9653632521198013
300,,1,30,1277.3472953268997,0.9653575572168862
200,5,1,30,1277.7679281585715,0.9653347378190463
100,15,1,30,1278.0050449760988,0.9653218708826694
500,10,5,30,1278.4751166194067,0.96529635579862
100,30,5,30,1278.8410371514317,0.9652764874522076
100,30,1,25,1279.5308836883228,0.9652390154679331
300,10,5,30,1279.6827148933112,0.96523076538914
500,15,1,30,1280.169616198565,0.9652043019444495
300,15,5,30,1280.496883707763,0.9651865090569106
500,10,1,30,1281.987167907239,0.9651054277405495
100,20,5,30,1282.6568836302986,0.9650689600622034
100,20,1,30,1283.0974277375506,0.9650449609604747
300,30,1,30,1283.2635483450927,0.9650359092266126
300,5,1,30,1283.7592657480982,0.9650088911507311
300,20,5,30,1286.3485737863189,0.9648675965427802
200,,5,30,1286.7013861728365,0.9648483220674229
300,20,1,30,1287.807542577162,0.9647878574285587
500,5,5,30,1288.1215515601175,0.9647706836246652
500,20,5,30,1288.176692307549,0.9647676674304062
200,15,5,30,1293.7562787353415,0.9644617969990965
300,5,5,30,1294.779405502709,0.9644055662167274
200,20,5,30,1296.3674769075487,0.9643181981791543
300,30,5,30,1296.9743569319373,0.9642847822815499
500,30,1,30,1297.4231566188873,0.964260060510072
300,10,1,30,1302.5339237775295,0.9639779347143418
100,10,1,30,1303.0973654743968,0.9639467635900479
100,30,1,30,1303.2991334517812,0.9639355979596745
500,30,5,30,1304.88002848351,0.9638480530340223
200,5,5,30,1305.6331147647654,0.9638063121980037
200,30,5,30,1306.5430370392323,0.9637558463843742
100,5,1,30,1311.5129715569142,0.9634795850388244
100,10,10,15,1324.9012216328517,0.9627301603785965
100,10,10,5,1326.9396251125088,0.9626153904449142
100,15,5,30,1332.9739859566344,0.9622745984919732
200,10,10,2,1341.1459424850716,0.9618106204251646
100,15,10,10,1354.5231722789692,0.9610449827549216
100,20,10,5,1358.7454549014735,0.9608017452074052
100,15,10,15,1361.5632186238095,0.9606389980984356
200,20,10,15,1367.1506894613644,0.960315282373209
200,20,10,10,1367.6100083346782,0.9602886123039461
200,15,10,25,1368.10332986959,0.9602599579128082
300,30,10,10,1370.3574224615702,0.9601288983256622
100,15,10,25,1370.3827734787592,0.9601274231158858
300,10,10,2,1371.9026068655003,0.9600389321059277
100,15,10,5,1372.0095092934032,0.9600327041104438
200,10,10,30,1372.400534102568,0.9600099193831176
300,,10,25,1374.7407548904055,0.9598734207344314
100,20,10,10,1376.5186128771472,0.959769567715852
500,30,10,2,1376.7770426442,0.9597544604487267
100,20,10,15,1376.8186452376408,0.9597520281825505
300,5,10,10,1377.0814372650457,0.9597366625342922
300,5,10,2,1377.3047342423902,0.9597236038868651
200,10,10,10,1377.3082995020952,0.9597233953694696
500,5,10,2,1377.3799917182182,0.9597192022716772
300,10,10,15,1377.4104886313287,0.9597174185176002
500,,10,25,1379.772222958722,0.9595791615231635
200,30,10,10,1381.385853789634,0.9594845626470513
300,30,10,5,1382.111668847729,0.9594419757913207
200,30,10,5,1382.626116557054,0.9594117772678774
500,5,10,25,1383.8965265406378,0.9593371549645613
300,5,10,25,1384.027187976639,0.9593294761873687
200,30,10,25,1384.56599357729,0.9592978037293474
500,15,10,15,1385.2221130813832,0.9592592185949846
300,15,10,10,1385.608851957389,0.959236466657491
100,15,10,2,1386.0295532597988,0.9592117094902837
500,10,10,15,1386.0443673663606,0.9592108375820192
300,20,10,10,1386.617079666784,0.9591771225266421
300,,10,15,1386.6643080857843,0.9591743416106642
100,,10,10,1386.8740276319552,0.9591619917059976
500,20,10,10,1387.4056660697836,0.9591306763654361
500,,10,10,1387.8208619705715,0.95910621154581
100,30,10,5,1388.310829655654,0.9590773314902331
300,15,10,5,1388.7038142848533,0.9590541605179934
500,20,10,25,1388.8155969127931,0.9590475684460111
500,15,10,25,1388.9529276347114,0.9590394690193293
100,,10,2,1389.2244197273735,0.959023454729884
100,20,10,25,1389.4697042095845,0.9590089836367303
300,,10,5,1389.7685033799435,0.9589913518760784
500,,10,2,1390.768815112184,0.9589322971562295
100,5,10,10,1390.8041469283812,0.9589302105190491
100,30,10,2,1391.7201874785146,0.9588760922131847
500,30,10,15,1392.7178568059433,0.9588171108640716
500,15,10,5,1392.7965932245556,0.9588124542355352
300,10,10,25,1393.3992320453256,0.9587768042576645
300,15,10,2,1393.732056889266,0.9587571089084009
100,30,10,25,1393.850799530156,0.9587500810174938
200,,10,5,1393.9301451666145,0.9587453845403167
300,20,10,5,1394.1947380909241,0.9587297213230753
100,5,10,25,1394.3252531683952,0.9587219940729423
500,,10,15,1394.3978713740032,0.9587176943404769
500,30,10,5,1394.9523459201694,0.9586848564551025
300,20,10,2,1395.1013543296515,0.9586760294401117
200,15,10,10,1395.1023435213822,0.9586759708388576
100,,10,5,1395.2234541949476,0.9586687957405357
300,10,10,5,1395.2313179850232,0.9586683298354811
200,20,10,5,1397.1746578812956,0.9585531124944827
300,10,10,30,1398.142040997224,0.958495698198347
200,10,10,15,1398.8230727036496,0.9584552550548894
500,20,10,5,1400.0013956317766,0.9583852336994717
500,10,10,25,1400.0418625087937,0.9583828279247726
300,15,10,25,1400.125613640635,0.9583778486600658
200,5,10,5,1400.1937884438116,0.9583737952365281
500,,10,30,1401.8227862068402,0.9582768823094845
300,5,10,30,1401.861128278468,0.9582745998916773
500,10,10,30,1402.2156293288008,0.9582534942798311
200,,10,25,1402.291586579571,0.9582489713867443
500,30,10,25,1403.0795509403813,0.9582020374025869
300,,10,30,1403.1415624442059,0.9581983426558512
300,15,10,30,1403.5256349411773,0.9581754553511931
500,30,10,10,1404.8176828871838,0.958098414805255
500,20,10,15,1405.1099822562655,0.9580809761279645
500,20,10,30,1405.1593181032197,0.9580780323771125
200,,10,2,1405.480929814073,0.9580588400499528
200,10,10,25,1405.6166143866458,0.9580507416931092
500,10,10,10,1406.1232317282702,0.958020497241799
300,15,10,15,1406.3387642434711,0.9580076269029082
500,15,10,10,1407.3563928037524,0.9579468334440905
300,5,10,15,1407.3987718484873,0.957944300752487
200,20,10,25,1407.51441451562,0.9579373892315522
200,20,10,2,1407.8187609521758,0.9579191968924737
200,20,10,30,1408.644830664624,0.9578697986652449
100,,10,15,1408.8224847483298,0.9578591713245279
200,30,10,2,1408.8834353922737,0.9578555249230354
200,5,10,25,1409.020720913381,0.9578473111730957
300,30,10,2,1409.952407218545,0.9577915475259235
500,10,10,2,1410.3832449232177,0.9577657483981326
300,10,10,10,1411.8498644630076,0.9576778662078694
100,30,10,15,1412.1011667428404,0.9576627986068115
200,5,10,15,1412.6468402438584,0.957630071840314
500,10,10,5,1413.558074898666,0.9575753923575102
200,,10,10,1413.817492312725,0.9575598193264636
200,15,10,15,1413.8652152612676,0.9575569541691823
300,20,10,25,1414.7035605261897,0.9575066064059137
100,5,10,5,1415.2967927330462,0.9574709611502822
100,30,10,30,1415.8458572658358,0.9574379564596567
200,10,10,5,1417.2933026195556,0.9573508880511219
500,,10,5,1417.3314525421208,0.9573485920094861
500,5,10,5,1418.2148149640295,0.9572954098238795
200,15,10,30,1419.4449919130018,0.9572212927207416
200,15,10,2,1420.2041447013546,0.9571755223535187
300,20,10,15,1421.1715058165012,0.9571171633586419
100,10,10,25,1422.2870503035206,0.9570498154180952
300,5,10,5,1422.5846329474919,0.9570318407531618
300,30,10,15,1422.9327179521483,0.9570108108595599
300,,10,10,1423.1297903836746,0.9569989022561521
100,10,10,10,1423.6394339594856,0.9569680980983744
300,,10,2,1424.1718244048204,0.9569359072829332
200,,10,30,1424.326714857543,0.9569265396217799
200,30,10,15,1424.7975877150757,0.9568980553200709
500,15,10,30,1425.1106869036123,0.9568791099389122
500,20,10,2,1425.5426602848247,0.9568529647420075
300,30,10,25,1426.2174193365909,0.9568121090823218
500,5,10,15,1427.0868847827426,0.956759435732156
500,15,10,2,1428.0823098386873,0.9566990921704537
100,20,10,2,1429.3794871120997,0.95662039297604
500,5,10,10,1429.5891703077473,0.9566076648770615
100,10,10,30,1429.7665279103078,0.9565968975348423
100,,10,25,1431.6611372986072,0.9564817928554299
100,15,10,30,1431.6827506772254,0.9564804788816647
500,5,10,30,1433.03915108042,0.9563979775608605
500,30,10,30,1433.9068729282858,0.9563451585125524
300,20,10,30,1435.2546021896965,0.9562630575646389
100,5,10,15,1435.8056021201176,0.9562294695474847
100,10,10,2,1437.3437342434127,0.956135639407366
200,30,10,30,1438.5468392739494,0.956062176785724
100,,10,30,1438.821947531273,0.956045369805973
200,5,10,2,1440.5420192282536,0.9559402139075853
200,,10,15,1441.5336524489205,0.9558795337122841
200,5,10,10,1441.8752003262318,0.9558586239863298
300,30,10,30,1453.9724582466592,0.9551148291239101
200,5,10,30,1458.4399206548317,0.9548385778445808
100,5,10,30,1460.2395435288015,0.9547270563888334
100,5,10,2,1460.7375843588081,0.9546961688270303
100,30,10,10,1465.424191003512,0.9544049983355214
200,15,10,5,1466.297145779414,0.9543506601720553
100,20,10,30,1487.7126006287212,0.9530074939870136
100,30,15,30,1673.8371129658417,0.9405137066034268
100,10,15,30,1677.1706169709378,0.9402765326822853
300,5,15,30,1687.095590774602,0.9395675914344634
200,30,15,2,1699.7040213775163,0.9386609385311108
100,30,15,25,1702.860077641222,0.9384329349989066
500,20,15,10,1703.2907266339284,0.9384017907522236
200,20,15,15,1704.9668194774067,0.9382805018683704
500,10,15,15,1707.0632620536594,0.9381286268493435
500,,15,5,1708.046803522884,0.9380573106970336
200,15,15,15,1709.350162303695,0.9379627414492752
200,10,15,2,1709.481912538107,0.9379531778870223
100,20,15,2,1710.2039187172704,0.9379007553969368
200,,15,25,1711.7259925987626,0.9377901701055986
100,20,15,30,1718.029311247318,0.937331159287148
100,20,15,5,1718.990480619969,0.9372610182021612
100,30,15,10,1719.8133545867727,0.9372009380189903
100,5,15,15,1720.5833381299449,0.937144693463678
500,15,15,5,1721.9781650776583,0.9370427422124904
500,20,15,30,1722.0325544989812,0.9370387650855254
200,20,15,10,1722.039991412483,0.9370382212650641
300,30,15,5,1722.620196551411,0.9369957868246404
100,,15,15,1722.7038513259815,0.936989667389564
300,30,15,30,1723.247067638892,0.9369499233127322
500,30,15,5,1724.9359185657815,0.9368262795696515
500,20,15,5,1725.1581335460965,0.9368100018040565
500,15,15,25,1725.7167306212193,0.9367690740049234
100,,15,5,1725.7986154557104,0.9367630732787819
300,,15,15,1726.1891207841159,0.9367344521517571
500,20,15,25,1726.531373813893,0.9367093622334703
200,,15,15,1726.6804899644217,0.9366984292565611
300,5,15,2,1726.7365356549176,0.9366943198248041
300,30,15,2,1726.8152189455632,0.9366885503138007
500,5,15,5,1726.8498108467727,0.9366860137536351
200,5,15,10,1726.9968574710338,0.9366752305294314
200,5,15,5,1727.0948323134066,0.9366680453278282
300,,15,5,1727.4514780924644,0.9366418864788633
100,15,15,25,1727.8271428409903,0.9366143268071704
500,15,15,2,1727.9500695077786,0.9366053073092022
200,5,15,25,1729.3289340685692,0.9365040919172757
300,10,15,2,1729.6927811708401,0.9364773703004718
500,10,15,25,1730.0951598134063,0.9364478123086488
200,10,15,25,1730.6272831914698,0.9364087129501809
500,10,15,30,1730.6360674702528,0.9364080673981123
200,10,15,15,1731.0370039237202,0.9363785992993335
500,30,15,2,1731.3716458458946,0.9363539985014426
200,15,15,5,1731.4675470627399,0.9363469475623223
300,5,15,15,1731.7644362063584,0.9363251169245608
300,15,15,2,1732.1389596607899,0.9362975723978224
500,10,15,2,1733.21225034122,0.9362186036707214
300,10,15,25,1733.2358029520904,0.9362168702089194
300,30,15,15,1733.3854585820818,0.9362058550700018
300,,15,10,1733.8842989829895,0.9361691319329036
500,20,15,15,1734.0050610453045,0.9361602402026905
300,,15,2,1734.1369024333417,0.9361505319928283
100,,15,25,1735.6010576172412,0.9360426685421541
100,10,15,10,1735.7822408871666,0.9360293145478743
500,30,15,10,1735.9069924959651,0.9360201190018921
300,,15,25,1736.0453831950476,0.9360099173339033
300,10,15,30,1736.106610187424,0.936005403639238
200,20,15,2,1736.2285719415552,0.9359964120631116
200,20,15,5,1736.2441158344175,0.935995266051137
500,5,15,10,1736.8401019700805,0.935951317759855
100,10,15,5,1736.9369293996488,0.9359441762364291
500,,15,15,1737.6431474642495,0.9358920769625737
200,20,15,25,1738.0788094697616,0.935859926647258
200,5,15,2,1738.124889041867,0.9358565256664773
300,10,15,15,1738.1488759576293,0.935854755235892
500,,15,30,1738.2601352227452,0.9358465430725907
500,,15,10,1738.625931211257,0.9358195395811109
300,10,15,10,1738.7802809543964,0.9358081435963568
100,15,15,30,1738.8919065641153,0.9357999013990059
300,20,15,2,1739.2984405762927,0.9357698793206234
300,20,15,15,1739.879455564033,0.9357269598364416
500,5,15,25,1740.0402852315833,0.9357150768414314
100,15,15,15,1740.5127054532986,0.9356801654424685
300,,15,30,1740.5329662140882,0.9356786679798383
100,,15,2,1740.6492799758978,0.9356700709509778
200,,15,30,1740.8285746396261,0.9356568177274172
200,15,15,30,1742.0839540809056,0.9355639835053341
500,15,15,15,1742.2377092453994,0.9355526088439681
500,30,15,25,1742.2436328402864,0.935552170601949
300,5,15,5,1742.506947605818,0.935532688427176
300,30,15,10,1743.0099328732126,0.9354954652895681
500,30,15,30,1743.1637053684904,0.935484083299584
300,5,15,10,1743.2897402005433,0.9354747536575597
200,15,15,10,1743.3364607975154,0.9354712950260354
200,15,15,25,1743.4298189654658,0.9354643836315726
300,15,15,25,1743.4975636475713,0.9354593681962411
500,5,15,30,1743.6383066916108,0.9354489477496511
500,,15,25,1744.2556399763062,0.9354032311955904
100,,15,10,1744.294482271757,0.9354003541921758
500,10,15,5,1745.1857846045332,0.9353343188682193
100,5,15,10,1745.6722854694897,0.9352982604782422
100,5,15,2,1745.723775369025,0.9352944435703061
300,5,15,25,1745.9164911045254,0.9352801566970189
300,20,15,10,1746.0481096559738,0.9352703983229471
300,10,15,5,1746.0790330797643,0.9352681055125501
200,,15,5,1746.1917258154829,0.935259749591031
500,,15,2,1746.9782354467059,0.9352014165947112
200,30,15,30,1747.2766305790958,0.9351792786735826
200,30,15,25,1747.3798412480833,0.9351716205987384
100,30,15,2,1747.5586220279895,0.935158354266065
100,20,15,10,1748.1031964569138,0.9351179360465262
500,30,15,15,1748.4773229441892,0.9350901611459633
100,30,15,15,1748.6724325317787,0.935075673982384
500,15,15,10,1748.7133574337518,0.9350726350452794
100,15,15,10,1748.9676150547232,0.9350537531886207
200,5,15,30,1749.1253227606476,0.9350420400096016
300,15,15,10,1749.198595784243,0.9350365975570027
500,5,15,2,1749.352782086505,0.9350251444169316
100,,15,30,1749.6067015691417,0.9350062807786107
200,30,15,15,1749.9045879749601,0.9349841473544834
