data,algorithm,rmse,r2
고가 시가 WMA PER foreign_보유수량 종가,gru,906.4320421514062,0.9827981184618998
고가 MA5 WMA PER foreign_보유수량 종가,gru,909.9711639659425,0.98266352832814
고가 시가 MA5 WMA MA20 종가,gru,910.2650719339432,0.9826523276434965
고가 MA5 WMA foreign_보유수량 MA20 종가,gru,910.3755291202914,0.9826481172406204
고가 WMA PER foreign_보유수량 MA20 종가,gru,910.3875124919284,0.9826476604281917
고가 시가 MA5 foreign_보유수량 MA20 종가,gru,911.3774218346348,0.9826099037989392
고가 시가 MA5 PER foreign_보유수량 종가,gru,911.9322940061293,0.9825887221949476
저가 고가 MA5 foreign_보유수량 MA20 종가,gru,912.521181342005,0.9825662279996308
저가 고가 시가 MA5 WMA PER foreign_보유수량 MA20 종가,gru,912.7831198389136,0.9825562178616906
고가 MA5 WMA PER foreign_보유수량 종가,lstmgru,913.532556797084,0.9825275618063495
고가 시가 WMA PER foreign_보유수량 MA20 종가,lstm,913.5468820719551,0.982527013824911
고가 시가 MA5 foreign_보유수량 MA20 종가,lstmgru,914.1930767514212,0.982502286152511
고가 시가 PER foreign_보유수량 MA20 종가,gru,915.093883205653,0.982467786177411
고가 MA5 WMA foreign_보유수량 MA20 종가,lstm,915.1263499806621,0.9824665420984161
고가 시가 WMA PER foreign_보유수량 MA20 종가,gru,915.2341751609578,0.9824624100796259
고가 MA5 WMA PER foreign_보유수량 MA20 종가,gru,915.3650390408469,0.9824573945301632
시가 MA5 WMA PER foreign_보유수량 종가,lstmgru,916.1149368643169,0.9824286397718451
고가 시가 MA5 WMA foreign_보유수량 종가,gru,916.238950057081,0.9824238822291287
고가 시가 WMA foreign_보유수량 MA20 종가,gru,916.3636585472589,0.9824190973631755
저가 고가 시가 WMA PER foreign_보유수량 MA20 종가,gru,916.8709365100353,0.9823996272043525
저가 고가 MA5 WMA PER foreign_보유수량 MA20 종가,gru,916.9700910874898,0.9823958202303876
고가 시가 PER foreign_보유수량 MA20 종가,lstmgru,917.1666634649363,0.9823882717477926
저가 고가 시가 MA5 WMA PER foreign_보유수량 종가,gru,917.2854891733463,0.9823837079934973
고가 시가 MA5 WMA foreign_보유수량 MA20 종가,lstm,917.3199920533448,0.9823823827261787
저가 고가 MA5 PER foreign_보유수량 종가,gru,917.8794311055958,0.9823608875258274
저가 고가 PER foreign_보유수량 MA20 종가,gru,918.3311859220503,0.9823435202884783
고가 시가 MA5 WMA PER 종가,gru,918.6029363515635,0.982333069013495
고가 WMA PER foreign_보유수량 MA20 종가,lstmgru,918.6183914356467,0.9823324745320494
저가 고가 WMA PER foreign_보유수량 MA20 종가,gru,919.1061310076495,0.9823137084393505
고가 시가 MA5 WMA PER foreign_보유수량 MA20 종가,gru,919.1715415172662,0.9823111909705383
고가 MA5 WMA PER MA20 종가,gru,919.5704145471271,0.9822958355783961
