종가,시가,고가,저가,WMA,PER,MA5,MA20,foreign_보유수량,업종
45500,45450,45550,45000,46439.09091,7.59,46150,45980,3372661736,IT
45050,45550,45900,45050,46127.27273,7.51,45630,45980,3374818127,IT
44550,44900,45100,44500,45751.81818,7.43,45220,45950,3373897729,IT
44050,44550,44750,44000,45326.36364,7.35,44810,45940,3370397660,IT
45850,45000,45850,44900,45293.63636,7.65,45000,46027.5,3362098970,IT
45150,45550,45800,44900,45180.90909,7.53,44930,46092.5,3364607625,IT
45500,44950,45900,44700,45173.63636,7.59,45020,46127.5,3365281152,IT
46150,46000,46200,45700,45323.63636,7.7,45340,46130,3366052283,IT
47250,46850,47600,46400,45681.81818,7.88,45980,46182.5,3368181328,IT
47400,46550,47550,46550,46046.36364,7.9,46290,46245,3372906662,IT
47500,46950,47500,46450,46383.63636,7.92,46760,46305,3373181559,IT
46450,47250,47250,46300,46493.63636,7.75,46950,46300,3376771718,IT
46350,46450,46800,45800,46560,7.73,46990,46277.5,3374874038,IT
45700,46450,46700,45700,46475.45455,7.62,46680,46180,3375339099,IT
44700,45150,45600,44700,46179.09091,7.45,46140,45992.5,3375226579,IT
44700,44800,45500,44550,45903.63636,7.45,45580,45855,3370670893,IT
44950,44200,45200,44200,45681.81818,7.5,45280,45720,3368411424,IT
45300,45250,45500,44500,45533.63636,7.55,45070,45655,3367857918,IT
43100,44000,44650,43100,45000.90909,7.19,44550,45505,3368375388,IT
44000,43200,44650,43200,44707.27273,7.34,44410,45460,3362264356,IT
43800,44050,44050,43350,44439.09091,7.3,44230,45375,3363815972,IT
43600,43700,44150,43350,44201.81818,7.27,43960,45302.5,3365513941,IT
44150,44150,44500,44000,44116.36364,7.36,43730,45282.5,3366147302,IT
44050,43950,44450,43700,44052.72727,7.35,43920,45282.5,3367157272,IT
43900,43900,44150,43450,43991.81818,7.32,43900,45185,3368716870,IT
43550,43450,43950,43200,43881.81818,7.26,43850,45105,3367438183,IT
43050,43300,43450,42550,43701.81818,7.18,43740,44982.5,3367058905,IT
42550,43050,43100,42250,43465.45455,7.1,43420,44802.5,3365744444,IT
41000,40600,41550,40550,42997.27273,6.84,42810,44490,3362373111,IT
41000,41100,41300,40400,42567.27273,6.84,42230,44170,3355759560,IT
41400,40850,41950,40550,42264.54545,6.9,41800,43865,3353945023,IT
42350,41400,43000,41000,42178.18182,7.06,41660,43660,3352268962,IT
42400,42900,43350,41700,42123.63636,7.07,41630,43462.5,3350942487,IT
42150,42450,42950,42150,42055.45455,7.03,41860,43285,3351505930,IT
44150,43050,44250,42800,42385.45455,7.36,42490,43257.5,3353388681,IT
43800,43750,43800,42900,42647.27273,7.3,42970,43212.5,3356730418,IT
43750,43750,43800,42950,42895.45455,7.3,43250,43152.5,3358510653,IT
44000,43600,44500,43400,43176.36364,7.34,43570,43087.5,3358855574,IT
44050,44900,45050,44050,43440,7.35,43950,43135,3359363071,IT
44300,44450,44850,43900,43693.63636,7.39,43980,43150,3360650150,IT
45200,43850,45250,43700,44050.90909,7.54,44260,43220,3361543160,IT
44500,43900,44500,43400,44211.81818,7.42,44410,43265,3363406667,IT
44100,44500,44500,43800,44260.90909,7.35,44430,43262.5,3360471009,IT
44250,44050,44350,43500,44306.36364,7.38,44470,43272.5,3359528649,IT
44000,44600,44750,43700,44268.18182,7.34,44410,43277.5,3358895161,IT
43650,44050,44250,43450,44169.09091,7.28,44100,43282.5,3358376548,IT
42800,42450,43000,42100,43918.18182,7.14,43760,43270,3357253845,IT
42100,41800,42300,41800,43557.27273,7.02,43360,43247.5,3354488490,IT
42450,42000,42650,42000,43294.54545,7.08,43000,43320,3351410310,IT
42400,42450,42600,41900,43051.81818,7.07,42680,43390,3350290936,IT
42600,42150,42800,42100,42880,7.1,42470,43450,3349789638,IT
43050,42900,43100,42500,42837.27273,7.18,42520,43485,3347322003,IT
43150,42800,43200,42750,42839.09091,7.2,42730,43522.5,3347829134,IT
43150,43850,43850,42900,42858.18182,7.2,42870,43572.5,3347252137,IT
41850,43450,44000,41750,42660.90909,6.98,42760,43457.5,3347117037,IT
43250,42750,43400,42400,42757.27273,7.21,42890,43430,3345263055,IT
42150,42650,42900,41900,42660.90909,7.03,42710,43350,3348680965,IT
41450,40900,41750,40850,42449.09091,6.91,42370,43222.5,3345682457,IT
40500,40600,41100,40450,42076.36364,6.75,41840,43045,3340561657,IT
40950,40900,41400,40850,41820.90909,6.83,41660,42877.5,3334358815,IT
40200,40450,40650,40000,41455.45455,6.7,41050,42627.5,3333777084,IT
40250,40600,40700,40200,41142.72727,6.71,40670,42415,3328687262,IT
40450,40250,40700,40150,40917.27273,6.75,40470,42232.5,3328592186,IT
40000,40650,40750,40000,40659.09091,6.67,40370,42020,3326558207,IT
38950,40200,40200,38700,40267.27273,6.49,39970,41767.5,3327187106,IT
39150,38650,39600,38650,39964.54545,6.53,39760,41542.5,3325484406,IT
38900,38300,39200,38300,39690.90909,6.49,39490,41347.5,3325426333,IT
39100,38900,39350,38850,39512.72727,6.52,39220,41197.5,3322571116,IT
38650,38600,39100,38500,39295.45455,6.44,38950,41007.5,3320817503,IT
38650,38200,38650,38100,39111.81818,6.44,38890,40820,3321207683,IT
38800,38500,39050,38300,38997.27273,6.47,38820,40630,3316542392,IT
38350,38400,38750,38300,38826.36364,6.39,38710,40395,3317382272,IT
38250,38700,38800,38100,38671.81818,6.38,38540,40150,3313841197,IT
38700,38250,38900,38200,38639.09091,6.45,38550,39927.5,3315501801,IT
38750,39400,39400,38550,38639.09091,6.46,38570,39772.5,3318291327,IT
37600,38300,38550,37450,38433.63636,6.27,38330,39490,3319573281,IT
37450,37450,37600,36850,38229.09091,6.24,38150,39255,3321405841,IT
38750,38000,38900,37800,38287.27273,6.46,38250,39120,3322734902,IT
38100,38000,39200,37950,38233.63636,6.35,38130,39000,3324331866,IT
39600,38650,39600,38300,38462.72727,6.6,38300,38932.5,3323035975,IT
39800,40000,40150,39600,38710.90909,6.64,38740,38912.5,3325913645,IT
40500,40350,40550,39950,39068.18182,6.75,39350,38925,3329580929,IT
40050,40450,40700,39850,39304.54545,6.68,39610,38905,3332302667,IT
41100,40050,41100,39850,39699.09091,6.85,40210,38960,3333854037,IT
41450,41150,41450,40700,40113.63636,6.91,40580,39085,3335885695,IT
41950,41700,42100,41450,40570,7,41010,39225,3337203191,IT
42300,42000,42400,41950,41010.90909,7.05,41370,39395,3340441611,IT
42750,42700,42750,41900,41445.45455,7.13,41910,39577.5,3341712761,IT
42150,42750,42850,41850,41698.18182,7.03,42120,39752.5,3343433656,IT
42000,41350,42250,41350,41850,7,42230,39920,3344034574,IT
43050,43050,43100,42350,42149.09091,7.18,42450,40132.5,3341872643,IT
44750,44300,44750,43750,42698.18182,7.46,42940,40452.5,3347801954,IT
45050,45000,45500,44600,43224.54545,7.51,43400,40792.5,3356601247,IT
45500,45050,45500,44350,43741.81818,7.59,44070,41132.5,3364272213,IT
