data,algorithm,rmse,r2
WMA PER foreign_보유수량 종가,gru,927.9916273606432,0.9819700895513258
WMA PER MA20 종가,gru,929.1313405015964,0.9819257754781241
PER foreign_보유수량 RSI 종가,gru,929.2843341732103,0.9819198226714168
WMA MA5 PER 종가,gru,936.2306867271537,0.9816485156547703
WMA MA5 MA20 종가,lstmgru,947.5427992408924,0.9812023687853608
WMA PER foreign_보유수량 종가,lstmgru,949.1910399250828,0.9811369153454158
MA5 foreign_보유수량 MOM 종가,gru,950.1604480356746,0.9810983659612803
WMA MA5 PER 종가,lstmgru,953.2061251976874,0.9809769958476207
RSI MOM MA20 종가,gru,961.2085024822923,0.9806562504149301
PER RSI MOM 종가,gru,961.936738797059,0.9806269286660185
MA5 foreign_보유수량 MA20 종가,lstmgru,964.4855522389798,0.9805241282203042
MA5 MOM MA20 종가,gru,967.2325625240219,0.980413029388655
PER MOM MA20 종가,gru,967.4339462352976,0.9804048722863793
WMA RSI MA20 종가,gru,971.8487718992544,0.9802256218838312
WMA MA5 foreign_보유수량 종가,lstm,973.066275239464,0.9801760453394974
foreign_보유수량 RSI MA20 종가,gru,987.9105940433775,0.9795665951761899
WMA foreign_보유수량 MA20 종가,lstmgru,994.4015058911567,0.9792972041052124
foreign_보유수량 RSI MOM 종가,lstmgru,999.3312658974835,0.9790914264668474
WMA MA5 foreign_보유수량 종가,lstmgru,1005.8999710447303,0.9788156547752511
MA5 PER MA20 종가,gru,1009.5811209732336,0.9786603203595373
foreign_보유수량 RSI MOM 종가,gru,1010.8047481426178,0.9786085610007276
MA5 RSI MOM 종가,lstm,1010.9951276012841,0.9786005023245099
WMA foreign_보유수량 MA20 종가,gru,1013.2042233732983,0.97850688132366
MA5 PER RSI 종가,gru,1013.2485910479077,0.9785049989379523
WMA MA5 MA20 종가,gru,1013.8748158177065,0.9784784213304145
WMA PER MA20 종가,lstm,1028.0483767426304,0.9778724894113522
WMA MA5 MOM 종가,gru,1032.9281689744012,0.9776619274900844
WMA foreign_보유수량 MOM 종가,gru,1034.3250418115936,0.9776014691803231
PER foreign_보유수량 RSI 종가,lstm,1036.7880553470382,0.9774946679962976
WMA MOM MA20 종가,gru,1042.6478144966538,0.977239556076544
PER RSI MA20 종가,gru,1045.984095257731,0.9770936645885702
MA5 MOM MA20 종가,lstm,1049.0301076375176,0.9769600591645972
WMA MA5 MA20 종가,lstm,1052.4160560882235,0.9768110873649642
MA5 RSI MA20 종가,lstm,1052.6176747052432,0.9768022015933914
WMA MA5 MOM 종가,lstmgru,1053.7012190966698,0.9767544182773049
MA5 foreign_보유수량 MOM 종가,lstmgru,1056.3945615785744,0.9766354313624205
WMA foreign_보유수량 MOM 종가,lstm,1058.6106854990726,0.9765372992959134
MA5 foreign_보유수량 RSI 종가,lstm,1059.092039126066,0.9765159573164421
MA5 PER MOM 종가,gru,1063.2870826889994,0.9763295491675654
WMA PER MOM 종가,lstm,1065.1589839843762,0.9762461328433251
MA5 foreign_보유수량 MA20 종가,lstm,1074.5509173601627,0.9758253913409766
MA5 foreign_보유수량 RSI 종가,lstmgru,1074.6072260631486,0.9758228576750465
PER foreign_보유수량 MOM 종가,gru,1077.2258271438502,0.9757048844720225
PER MOM MA20 종가,lstm,1079.085174498994,0.9756209428449734
WMA RSI MA20 종가,lstmgru,1079.3472482806708,0.9756090996880024
WMA foreign_보유수량 MA20 종가,lstm,1081.598346809537,0.975507253731549
WMA MA5 foreign_보유수량 종가,gru,1081.7662708085957,0.9754996478782486
MA5 PER foreign_보유수량 종가,gru,1082.5529878916677,0.97546399904187
foreign_보유수량 MOM MA20 종가,gru,1082.6715153140954,0.9754586259133675
MA5 RSI MA20 종가,gru,1082.9043246409235,0.9754480704032447
PER foreign_보유수량 MOM 종가,lstm,1086.7528441154916,0.9752732507485465
WMA MA5 RSI 종가,lstmgru,1087.682805369433,0.9752309140617381
