data,algorithm,rmse,r2
WMA MA5 PER foreign_보유수량 종가,gru,922.0127230242489,0.9822016688893926
WMA MA5 PER MA20 종가,gru,934.9126245533541,0.9817001511565869
MA5 PER foreign_보유수량 MA20 종가,gru,941.1326122241381,0.9814558428215707
MA5 PER foreign_보유수량 MA20 종가,lstmgru,950.4376266502394,0.9810873364705874
PER foreign_보유수량 RSI MA20 종가,gru,961.1055191126469,0.9806603951510477
PER foreign_보유수량 MOM MA20 종가,gru,965.1530966623991,0.9804971594207644
MA5 PER RSI MA20 종가,gru,969.3764215054038,0.9803261046064747
PER foreign_보유수량 RSI MOM 종가,gru,969.8654157294337,0.9803062509201861
WMA RSI MOM MA20 종가,gru,970.1061440984319,0.9802964734142017
WMA MA5 PER MOM 종가,gru,970.5555213238551,0.9802782148619155
MA5 PER RSI MOM 종가,gru,971.5739784867864,0.9802368028427972
WMA MA5 PER RSI 종가,gru,987.3755342459168,0.979588722953318
WMA PER foreign_보유수량 MOM 종가,gru,990.8640060674591,0.9794442390215765
WMA MA5 foreign_보유수량 RSI 종가,gru,990.9832708890059,0.979439290357196
WMA MA5 PER foreign_보유수량 종가,lstmgru,991.4126568742851,0.9794214688793038
WMA MA5 MOM MA20 종가,gru,997.4046715221681,0.9791719673479473
MA5 foreign_보유수량 MOM MA20 종가,gru,1001.5247137517567,0.9789995406252194
WMA PER foreign_보유수량 RSI 종가,gru,1004.2461543242586,0.9788852565736845
MA5 PER foreign_보유수량 RSI 종가,lstm,1006.1596964439549,0.9788047136816881
MA5 PER foreign_보유수량 RSI 종가,lstmgru,1007.1567891509735,0.9787626842959042
MA5 PER foreign_보유수량 RSI 종가,gru,1010.1721128893904,0.9786353292633245
WMA PER foreign_보유수량 MOM 종가,lstmgru,1018.1938022014123,0.9782946720454856
WMA PER MOM MA20 종가,gru,1018.3322501848586,0.9782887689194129
MA5 PER MOM MA20 종가,lstmgru,1021.5169966185276,0.9781527565562718
WMA MA5 foreign_보유수량 MOM 종가,lstmgru,1029.018461013451,0.9778307099035142
PER foreign_보유수량 RSI MOM 종가,lstmgru,1031.1966336180892,0.9777367569774674
WMA MA5 RSI MOM 종가,lstm,1032.9989583155282,0.9776588656089822
PER foreign_보유수량 MOM MA20 종가,lstmgru,1036.270261326292,0.9775171416665461
MA5 PER MOM MA20 종가,gru,1041.0418099228677,0.9773096185170025
WMA MA5 PER MA20 종가,lstm,1042.8920950954994,0.9772288897976543
MA5 PER RSI MOM 종가,lstmgru,1047.4262469709397,0.9770304567747577
WMA MA5 RSI MOM 종가,gru,1049.6676821467317,0.9769320444434276
MA5 RSI MOM MA20 종가,gru,1052.9996397753368,0.9767853628939006
MA5 foreign_보유수량 RSI MOM 종가,lstm,1061.620719538274,0.9764036827859804
WMA MA5 MOM MA20 종가,lstmgru,1061.6583833511565,0.976402008472311
MA5 PER foreign_보유수량 MOM 종가,lstmgru,1062.7786461926064,0.9763521809551429
MA5 foreign_보유수량 RSI MA20 종가,lstmgru,1074.3986926830673,0.9758322401766691
WMA RSI MOM MA20 종가,lstm,1079.2851282142049,0.9756119071640015
MA5 PER foreign_보유수량 MOM 종가,gru,1080.5258845615592,0.975555801370265
MA5 PER RSI MOM 종가,lstm,1083.0315038223657,0.975442303175993
WMA MA5 foreign_보유수량 RSI 종가,lstm,1084.3407402693335,0.9753828935185677
MA5 foreign_보유수량 RSI MOM 종가,lstmgru,1086.3743284056386,0.9752904723884931
MA5 PER MOM MA20 종가,lstm,1093.7542895974314,0.974953618435827
WMA PER foreign_보유수량 MA20 종가,lstm,1096.3577881429394,0.974834239106843
PER RSI MOM MA20 종가,gru,1101.2669551979036,0.9746083648164772
WMA MA5 foreign_보유수량 MOM 종가,lstm,1103.8149337527368,0.9744907326909251
WMA PER RSI MOM 종가,lstm,1104.0106594617464,0.9744816854096557
PER RSI MOM MA20 종가,lstmgru,1107.1549203052252,0.9743361243238639
PER RSI MOM MA20 종가,lstm,1110.6789540062405,0.9741724899574227
WMA MA5 foreign_보유수량 MA20 종가,gru,1113.6765067297035,0.9740328928321719
WMA MA5 PER MOM 종가,lstm,1115.1418404314286,0.9739645147892961
MA5 foreign_보유수량 MOM MA20 종가,lstmgru,1119.8638592075756,0.9737435557370125
foreign_보유수량 RSI MOM MA20 종가,lstmgru,1123.3299450379063,0.9735807717941403
WMA PER RSI MA20 종가,gru,1125.8016831860161,0.9734643798862641
WMA foreign_보유수량 RSI MA20 종가,gru,1126.4587595523042,0.9734333957131915
WMA PER foreign_보유수량 MA20 종가,lstmgru,1128.5680859180743,0.9733338091026046
MA5 foreign_보유수량 RSI MOM 종가,gru,1129.4081331803823,0.9732940964827711
WMA MA5 RSI MOM 종가,lstmgru,1133.2112999197113,0.9731139348400897
WMA MA5 RSI MA20 종가,lstm,1133.3388966912196,0.9731078798912018
WMA MA5 RSI MA20 종가,lstmgru,1145.5956513325286,0.9725230725732668
MA5 foreign_보유수량 RSI MA20 종가,gru,1148.9577825271863,0.9723615555560668
WMA MA5 PER MOM 종가,lstmgru,1149.0845031697538,0.9723554586312996
WMA foreign_보유수량 RSI MA20 종가,lstmgru,1149.104465438973,0.972354498123053
WMA foreign_보유수량 RSI MA20 종가,lstm,1152.711053320405,0.9721806890326846
MA5 RSI MOM MA20 종가,lstm,1154.82286420245,0.9720786635705589
WMA RSI MOM MA20 종가,lstmgru,1159.77732522838,0.9718385714792037
MA5 PER foreign_보유수량 MOM 종가,lstm,1160.419167831686,0.9718073927248333
WMA foreign_보유수량 MOM MA20 종가,gru,1160.9168832758405,0.9717832033531795
PER foreign_보유수량 RSI MOM 종가,lstm,1167.6438328528523,0.9714552506668198
WMA PER MOM MA20 종가,lstm,1172.0947412194935,0.9712372180625034
WMA MA5 PER MA20 종가,lstmgru,1173.2328078901762,0.9711813354548172
WMA MA5 MOM MA20 종가,lstm,1173.990968591408,0.9711440773106411
MA5 PER RSI MA20 종가,lstm,1179.1126433066588,0.9708917533478564
WMA MA5 foreign_보유수량 MOM 종가,gru,1181.1211039847594,0.9707925048818257
WMA PER foreign_보유수량 MOM 종가,lstm,1187.431106748085,0.9704795959458674
MA5 PER foreign_보유수량 MA20 종가,lstm,1191.7790465394548,0.9702630142350671
PER foreign_보유수량 MOM MA20 종가,lstm,1200.4811987596856,0.9698271607199318
WMA MA5 PER RSI 종가,lstmgru,1203.0588804948345,0.9696974469395672
WMA PER RSI MA20 종가,lstm,1203.9128246738549,0.9696544135137031
WMA MA5 foreign_보유수량 MA20 종가,lstmgru,1205.5001768047318,0.9695743397978241
WMA PER foreign_보유수량 RSI 종가,lstmgru,1212.8670048546867,0.969201340316783
foreign_보유수량 RSI MOM MA20 종가,gru,1217.790934472708,0.968950763356617
WMA foreign_보유수량 RSI MOM 종가,gru,1225.8466811663484,0.9685386202338838
WMA foreign_보유수량 RSI MOM 종가,lstm,1232.5243275951814,0.9681949227920346
WMA MA5 foreign_보유수량 MA20 종가,lstm,1238.2177697776772,0.9679004075447031
MA5 foreign_보유수량 RSI MA20 종가,lstm,1239.093362036543,0.967854993736512
PER foreign_보유수량 RSI MA20 종가,lstm,1255.4508198667875,0.967000689689816
WMA MA5 RSI MA20 종가,gru,1255.8038570969102,0.9669821280338242
WMA MA5 PER foreign_보유수량 종가,lstm,1261.23704954726,0.9666958086068951
WMA PER RSI MOM 종가,gru,1268.0996823064213,0.9663323935942795
MA5 PER RSI MA20 종가,lstmgru,1287.5577674346175,0.9652912558403604
WMA MA5 foreign_보유수량 RSI 종가,lstmgru,1302.937658047022,0.9644571108801344
WMA foreign_보유수량 MOM MA20 종가,lstmgru,1319.6525746646892,0.9635393276714816
WMA MA5 PER RSI 종가,lstm,1323.8264674887346,0.9633083220126696
WMA PER MOM MA20 종가,lstmgru,1335.4695396493987,0.9626600761935148
WMA PER RSI MA20 종가,lstmgru,1336.9311213027706,0.9625782993944525
MA5 foreign_보유수량 MOM MA20 종가,lstm,1373.8933431330381,0.9604804953450686
WMA PER foreign_보유수량 RSI 종가,lstm,1399.3609767228897,0.9590017828421985
MA5 RSI MOM MA20 종가,lstmgru,1429.815952901161,0.9571978356253872
PER foreign_보유수량 RSI MA20 종가,lstmgru,1564.336677529275,0.9487650980151192
foreign_보유수량 RSI MOM MA20 종가,lstm,1569.6350192625985,0.9484174494110047
WMA PER RSI MOM 종가,lstmgru,1651.4697521319613,0.9428986072409202
WMA PER foreign_보유수량 MA20 종가,gru,1670.322580816463,0.9415874509792201
WMA foreign_보유수량 MOM MA20 종가,lstm,1748.3013694021386,0.936006177941972
WMA foreign_보유수량 RSI MOM 종가,lstmgru,2563.4074691759047,0.8624246125072648
